qc_id,sector,subsector,primary_ty,date_creat,date_modif,comp_affil,name1,name2,name3,address1,address2,po_box,po_zip,city,state,zip,zip_4,county,hsip_aoi,fema_regio,latitude,longitude,reliabilit,coorsource,comments_1,conference,division,capacity,team,icon_url
"0",High Value/Symbolic,Sports Arena,NBA,"20040211","20100215",,American Airlines Arena,,,601 Biscayne Boulevard,,,,Miami,FL,"33132",,Dade,Miami-Fort Lauderdale,4,25.78117,-80.18758,High,NGA,,Eastern,Southeast,19600,Miami Heat,./0.png
"1",High Value/Symbolic,Sports Arena,NBA,"20040211","20100215",,ARCO Arena,,,1 Sports Parkway,,,,Sacramento,CA,"95834",,Sacramento,Sacramento,9,38.64932,-121.51869,High,NGA,,Western,Pacific,17317,Sacramento Kings,./0.png
"2",High Value/Symbolic,Sports Arena,NBA,"20040211","20100215",,EnergySolutions Arena,,,301 West South Temple,,,,Salt Lake City,UT,"84101",,Salt Lake,Salt Lake City-Ogden,8,40.76629,-111.90093,High,NGA,Shares arean with Thunder (AF1).,Western,Northwest,19911,Utah Jazz,./0.png
"3",High Value/Symbolic,Sports Arena,NBA,"20040226","20100215",,Fed Ex Forum,,,191 Beale Street,,,,Memphis,TN,"38103",,Shelby,Memphis,4,35.1381,-90.0513,High,NGA,Shares arena with Memphis Tigers (NCAA).,Western,Southwest,18119,Memphis Gizzlies,./0.png
"4",High Value/Symbolic,Sports Arena,NBA,"20060411","20100215",,Quicken Loans Arena,,,1 Center Court,,,,Cleveland,OH,"44115",44115-4001,Cuyahoga,Cleveland-Akron,5,41.49648,-81.6887,High,NGA,Shares areana with Monsters (AHL) and Gladiators (AF1),Eastern,Central,20562,Cleveland Cavaliers,./0.png
"5",High Value/Symbolic,Sports Arena,NBA,"20060411","20100215",,Oracle Arena,,,7000 Coliseum Way,,,,Oakland,CA,"94621",94621-1917,Alameda,San Francisco-Oakland,9,37.75131,-122.20217,High,NGA,,Western,Pacific,19596,Golden State Warriors,./0.png
"6",High Value/Symbolic,Sports Arena,NBA,"20060411","20100215",,New Orleans Arena,,,1601 Girod Street,,,,New Orleans,LA,"70113",70113-3124,Orleans,New Orleans,6,29.94889,-90.08203,High,NGA,,Western,Southwest,18500,New Orleans Hornets,./0.png
"7",High Value/Symbolic,Sports Arena,NBA,"20060411","20100215",,Rose Garden,,,1 Center Court,,,,Portland,OR,"97227",,Multnomah,Portland,10,45.53165,-122.66692,High,NGA,Shares areana with Winterhawks (WHL).,Western,Northwest,20630,Portland Trailblazers,./0.png
"8",High Value/Symbolic,Sports Arena,NBA,"20060411","20100215",,Amway Arena,,,600 West Amelia Street,,,,Orlando,FL,"32801",,Orange,Orlando,4,28.54883,-81.38636,High,NGA,Shares arena with Titans (NLL) and Predators (AF1),Eastern,Southeast,17519,Orlando Magic,./0.png
"9",High Value/Symbolic,Sports Arena,NBA,"20060411","20100215",,Bradley Center,,,1001 North 4th Street,,,,Milwaukee,WI,"53203",53203-1314,Milwaukee,Milwaukee,5,43.04346,-87.91736,High,NGA,Shares arena with Marquette Golden Eagles (NCAA),Eastern,Central,18717,Milwaukee Bucks,./0.png
