qc_id,sector,subsector,primary_ty,date_creat,date_modif,comp_affil,name1,name2,name3,address1,address2,po_box,po_zip,city,state,zip,zip_4,county,hsip_aoi,fema_regio,latitude,longitude,reliabilit,coorsource,comments_1,conference,division,capacity,team,icon_url
"0",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,American Airlines Center,AAC,,2500 Victory Avenue,,,,Dallas,TX,"75219",75219-7601,Dallas,Dallas-Fort Worth,6,32.79062,-96.81043,High,NGA,Shares arena with Mavericks (NBA).,Western,Pacific,18532,Dallas Stars,./0.png
"1",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Pepsi Center,The Can,,1000 Chopper Circle,,,,Denver,CO,"80204",,Denver,Denver,8,39.75,-105.01,High,NGA,Shares arena with Nuggets (NBA).,Western,Northwest,18007,Colorado Avalanche,./0.png
"2",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Philips Arena,,,1 Philips Drive NW,,,,Atlanta,GA,"30303",,Fulton,Atlanta,4,33.7573,-84.39631,High,NGA,Shares arena with Hawks (NBA).,Eastern,Southeast,18750,Atlanta Thrashers,./0.png
"3",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,TD Garden,The Garden,,100 Legends Way,,,,Boston,MA,"02114",02114-4714,Suffolk,Boston,1,42.36653,-71.06206,High,NGA,Shares arena with Celtics (NBA).   Formerly called TB Banknorth Center until July 2009,Eastern,Northeast,17565,Boston Bruins,./0.png
"4",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,United Center,,,1902 West Madison Street,,,,Chicago,IL,"60612",60612-2459,Cook,Chicago,5,41.88059,-87.67418,High,NGA,Shares arena with Bulls (NBA).,Western,Central,19717,Chicago Blackhawks,./0.png
"5",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Wachovia Center,,,3601 South Broad Street,,,,Philadelphia,PA,"19148",,Philadelphia,Philadelphia,3,39.90097,-75.17218,High,NGA,Shares arena with 76ers (NBA).,Eastern,Atlantic,19519,Philadelphia Flyers,./0.png
"6",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Prudential Center,The Rock,,751 Broad Street,,,,Newark,NJ,"07102",,Essex,New York-Newark,2,40.81163,-74.06767,High,NGA,"New arena...opened in 2007; Devils formerly played in Continental Airlines Arena",Eastern,Atlantic,17625,New Jersey Devils,./0.png
"7",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Madison Square Garden,The Garden,MSG,4 Pennsylvania Plaza,,,,New York,NY,"10001",,New York,New York-Newark,2,40.7506,-73.99378,High,NGA,Shares arena with Knicks (NBA),Eastern,Atlantic,18200,New York Rangers,./0.png
"8",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Verizon Center,The Phone Booth,,610 F Street NW,,,,Washington,DC,"20004",,District of Columbia,Washington,3,38.89838,-77.02098,High,NGA,Shares arena with Wizards (NBA) and Mystics(WNBA),Eastern,Southeast,18277,Washington Capitals,./0.png
"9",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Staples Center,,,1111 South Figueroa Street,,,,Los Angeles,CA,"90015",,Los Angeles,Los Angeles,9,34.04321,-118.26716,High,NGA,"Shares arena with Lakers (NBA), Clippers (NBA) and Sparks (WNBA).",Western,Pacific,18118,Los Angeles Kings,./0.png
"10",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Honda Center,The Pond,,2695 East Latella Avenue,,,,Anaheim,CA,"92806",,Orange,Los Angeles,9,33.80831,-117.87681,High,NGA,Formerly known as Arrowhead Pond of Anaheim until October 2006,Western,Pacific,17174,Anaheim Mighty Ducks,./0.png
"11",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,HP Pavilion at San Jose,The Shark Tank,,525 West Santa Clara Street,,,,San Jose,CA,"95113",95113-1520,Santa Clara,San Francisco-Oakland,9,37.33269,-121.90128,High,NGA,,Western,Pacific,17562,San Jose Sharks,./0.png
"12",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,Joe Louis Arena,The Joe,JLA,600 Civic Center Drive,,,,Detroit,MI,"48226",,Wayne,Detroit,5,42.32527,-83.0515,High,NGA,,Western,Central,20066,Detroit Red Wings,./0.png
"13",High Value/Symbolic,Sports Arena,NHL,"20060502","20100217",,HSBC Arena,,,1 Seymour H. Knox III Plaza,,,,Buffalo,NY,"14203",,Erie,Buffalo,2,42.87515,-78.87709,High,NGA,Formerly known as Marine Midland Arena,Eastern,Northeast,18690,Buffalo Sabres,./0.png
