qc_id,fid,stadium,city,state,team,conference,capacity,built,expanded,div,latitude,longitude,icon_url
"63","64",Carrier Dome,Syracuse,NY,Syracuse,ACC,"49250","1980",,fbs,43.0361328204232,-76.136519908905,./0.png
"110","111",UB Stadium,Amherst,NY,Buffalo,MAC,"29013","1993",,fbs,42.9990683823964,-78.7775194644928,./0.png
"0","1",Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,"107601","1927","2015",fbs,42.2658687325174,-83.7487256526947,./0.png
"1","2",Beaver Stadium,University Park,PA,Penn State,Big Ten,"106572","1960","2001",fbs,40.8121527327504,-77.8562021255493,./0.png
"2","3",Ohio Stadium,Columbus,OH,Ohio State,Big Ten,"104944","1922","2014",fbs,40.0016856893694,-83.019728064537,./0.png
"3","4",Kyle Field,College Station,TX,Texas A&M,SEC,"102733","1927","2015",fbs,30.6100975781748,-96.3407292285928,./0.png
"4","5",Neyland Stadium,Knoxville,TN,Tennessee,SEC,"102455","1921","2010",fbs,35.9547343726226,-83.9253330230713,./0.png
"5","6",Tiger Stadium,Baton Rouge,LA,LSU,SEC,"102321","1924","2014",fbs,30.4120123982997,-91.183819770813,./0.png
"6","7",Bryant–Denny Stadium,Tuscaloosa,AL,Alabama,SEC,"101821","1929","2010",fbs,33.2074899449518,-87.5503921508789,./0.png
"7","8",Darrell K Royal–Texas Memorial Stadium,Austin,TX,Texas,Big 12,"100119","1924","2009",fbs,30.2836034020682,-97.7323365211487,./0.png
"8","9",Los Angeles Memorial Coliseum,Los Angeles,CA,Southern California,Pac-12,"93607","1923","2008",fbs,34.0140097406291,-118.287895917892,./0.png
"9","10",Sanford Stadium,Athens,GA,Georgia,SEC,"92746","1929","2004",fbs,33.9498214894988,-83.373441696167,./0.png
"10","11",Rose Bowl,Pasadena,CA,UCLA,Pac-12,"92542","1921","1949",fbs,34.1615695872626,-118.167614936829,./0.png
"11","12",Ben Hill Griffin Stadium,Gainesville,FL,Florida,SEC,"88548","1930","2003",fbs,29.6498686779723,-82.3486661911011,./0.png
"12","13",Jordan–Hare Stadium,Auburn,AL,Auburn,SEC,"87451","1939","2004",fbs,32.6023616668175,-85.4889106750488,./0.png
"13","14",Memorial Stadium,Lincoln,NE,Nebraska,Big Ten,"87091","1923","2013",fbs,40.8204835232949,-96.7057156562805,./0.png
"14","15",Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,Florida State,ACC,"82300","1950","2003",fbs,30.4375475846213,-84.304533981035,./0.png
"15","16",Gaylord Family Oklahoma Memorial Stadium,Norman,OK,Oklahoma,Big 12,"82112","1925","2003",fbs,35.2058995948851,-97.4425506591797,./0.png
"16","17",Memorial Stadium,Clemson,SC,Clemson,ACC,"81500","1942","2006",fbs,34.6787466574135,-82.8431797027588,./0.png
"17","18",Notre Dame Stadium,Notre Dame,IN,Notre Dame,Independent,"80795","1930","1997",fbs,41.6984231215861,-86.2338244915009,./0.png
"18","19",Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,"80321","1917","2005",fbs,43.0699380264688,-89.4127464294434,./0.png
"19","20",Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,"80250","1934","1996",fbs,33.9725911545769,-81.020216345787,./0.png
"20","21",Spartan Stadium,East Lansing,MI,Michigan State,Big Ten,"75005","1923","2005",fbs,42.7281691163326,-84.4848753511906,./0.png
"21","22",Donald W. Reynolds Razorback Stadium,Fayetteville,AR,Arkansas,SEC,"72000","1938","2006",fbs,36.0678507851673,-94.1787958145142,./0.png
"22","23",Sun Devil Stadium Frank Kush Field,Tempe,AZ,Arizona State,Pac-12,"71706","1958","1998",fbs,33.426364,-111.932616,./0.png
"23","24",Faurot Field,Columbia,MO,Missouri,SEC,"71168","1927","1997",fbs,38.9358952967223,-92.3331141471863,./0.png
"24","25",Kinnick Stadium,Iowa City,IA,Iowa,Big Ten,"70585","1929","2006",fbs,41.6583889368098,-91.5514755249023,./0.png
"25","26",Qualcomm Stadium,San Diego,CA,San Diego State,Mountain West,"70561","1967","1997",fbs,32.7830532577911,-117.119600772858,./0.png
"26","27",Husky Stadium,Seattle,WA,Washington,Pac-12,"70500","1920","2012",fbs,47.6504305440122,-122.302919847393,./0.png
"27","28",Lincoln Financial Field,Philadelphia,PA,Temple,American,"68532","2003",,fbs,39.9007489004881,-75.1674914360046,./0.png
"28","29",Heinz Field,Pittsburgh,PA,Pittsburgh,ACC,"68400","2001",,fbs,40.4467837650163,-80.0157558917999,./0.png
"29","30",Lane Stadium,Blacksburg,VA,Virginia Tech,ACC,"66233","1965","2005",fbs,37.2199742830054,-80.4180550575256,./0.png
"30","31",Raymond James Stadium,Tampa,FL,USF,American,"65857","1998",,fbs,27.9759944700372,-82.5033491849899,./0.png
"31","32",Sun Life Stadium,Miami Gardens,FL,Miami,ACC,"65326","1987","2016",fbs,25.957933739029,-80.2388405799866,./0.png
"32","33",Alamodome,San Antonio,TX,UTSA,C-USA,"65000","1993",,fbs,29.4169371286816,-98.4789025783539,./0.png
"33","34",LaVell Edwards Stadium,Provo,UT,BYU,Independent,"63725","1964","1982",fbs,40.2574879974631,-111.654438972473,./0.png
"34","35",Kenan Memorial Stadium,Chapel Hill,NC,North Carolina,ACC,"62980","1927","2011",fbs,35.9069883474785,-79.0479183197021,./0.png
"35","36",California Memorial Stadium,Berkeley,CA,California,Pac-12,"62717","1923","2012",fbs,37.8706866037043,-122.250709533691,./0.png
"36","37",Liberty Bowl Memorial Stadium,Memphis,TN,Memphis,American,"62380","1965","1987",fbs,35.120856917269,-89.9780574112839,./0.png
"37","38",Commonwealth Stadium,Lexington,KY,Kentucky,SEC,"62093","1973","1999",fbs,38.0226216812936,-84.5052051544189,./0.png
"38","39",Jack Trice Stadium,Ames,IA,Iowa State,Big 12,"61500","1975","2015",fbs,42.0140054110849,-93.6358094215393,./0.png
"39","40",Scott Stadium,Charlottesville,VA,Virginia,ACC,"61500","1931","2000",fbs,38.0311237285569,-78.513708114624,./0.png
"40","41",Davis Wade Stadium,Starkville,MS,Mississippi State,SEC,"61337","1914","2014",fbs,33.4562305990721,-88.7934243679047,./0.png
"41","42",Jones AT&T Stadium,Lubbock,TX,Texas Tech,Big 12,"60862","1947","2013",fbs,33.591028298011,-101.872937679291,./0.png
"42","43",Memorial Stadium,Champaign,IL,Illinois,Big Ten,"60670","1923","2011",fbs,40.0993057313305,-88.2359862327576,./0.png
"43","44",Vaught–Hemingway Stadium,Oxford,MS,Mississippi,SEC,"60580","1915","2002",fbs,34.3621543029929,-89.534146260209,./0.png
"44","45",Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,"60218","1919","2005",fbs,36.1257086623585,-97.0665049552917,./0.png
"45","46",Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia,Big 12,"60000","1980","2004",fbs,39.6522199248282,-79.9551753012939,./0.png
"46","47",Carter–Finley Stadium,Raleigh,NC,NC State,ACC,"57583","1966","2006",fbs,35.800759682079,-78.7194871902466,./0.png
"47","48",Ross–Ade Stadium,West Lafayette,IN,Purdue,Big Ten,"56400","1924","2006",fbs,40.434323,-86.918485,./0.png
"48","49",Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,Georgia Tech,ACC,"55000","1913","2003",fbs,33.7725569213194,-84.3928527832031,./0.png
"49","50",Papa John's Cardinal Stadium,Louisville,KY,Louisville,ACC,"55000","1998","2009",fbs,38.2054216852114,-85.7581056156681,./0.png
"50","51",Autzen Stadium,Eugene,OR,Oregon,Pac-12,"54000","1967","2002",fbs,44.0582727242666,-123.068504333496,./0.png
"51","52",Memorial Stadium,Bloomington,IN,Indiana,Big Ten,"52959","1960","2010",fbs,39.1809091337292,-86.5255737304688,./0.png
"52","53",TCF Bank Stadium,Minneapolis,MN,Minnesota,Big Ten,"52525","2009",,fbs,44.9765249691119,-93.224575817585,./0.png
"53","54",High Point Solutions Stadium,Piscataway,NJ,Rutgers,Big Ten,"52454","1994","2009",fbs,40.5137828930887,-74.4650445708728,./0.png
"54","55",Arizona Stadium,Tucson,AZ,Arizona,Pac-12,"51811","1928","1988",fbs,32.2283402320715,-110.949039459229,./0.png
"55","56",Byrd Stadium,College Park,MD,Maryland,Big Ten,"51802","1950","2009",fbs,38.9912027514443,-76.9473117324879,./0.png
"56","57",Sun Bowl Stadium,El Paso,TX,UTEP,C-USA,"51500","1963","1981",fbs,31.7733453051278,-106.507896780968,./0.png
"57","58",Folsom Field,Boulder,CO,Colorado,Pac-12,"50183","1924","2003",fbs,40.0093983744632,-105.266886949539,./0.png
"58","59",Memorial Stadium,Lawrence,KS,Kansas,Big 12,"50071","1921","1999",fbs,38.9629459889854,-95.2463150024414,./0.png
"59","60",Aloha Stadium,Honolulu,HI,Hawaii,Mountain West,"50000","1975","2003",fbs,21.3727829932683,-157.929968833923,./0.png
"60","61",Dowdy–Ficklen Stadium,Greenville,NC,East Carolina,American,"50000","1963","2010",fbs,35.5964257969893,-77.3652291297913,./0.png
"61","62",Bill Snyder Family Football Stadium,Manhattan,KS,Kansas State,Big 12,"50000","1968","2005",fbs,39.2018636181425,-96.5937924385071,./0.png
"62","63",Stanford Stadium,Stanford,CA,Stanford,Pac-12,"50000","2006",,fbs,37.4347264132917,-122.161016464233,./0.png
"64","65",Ryan Field,Evanston,IL,Northwestern,Big Ten,"47130","1926","1997",fbs,42.0653996675299,-87.6924955844879,./0.png
"65","66",Rice Stadium,Houston,TX,Rice,C-USA,"47000","1950",,fbs,29.7162340290944,-95.4092645645142,./0.png
