qc_id,sector,subsector,primary_ty,sec_class,date_creat,comp_affil,name1,name2,name3,address1,address2,po_box,po_zip,city,state,zip,zip_4,county,hsip_aoi,fema_regio,latitude,longitude,reliabilit,coorsource,comments_1,league,division,capacity,roof_type,team,icon_url
"0",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Angel Stadium of Anaheim,,,2000 East Gene Autry Way,,,,Anaheim,CA,92805,,Orange,Los Angeles,9,33.80129,-117.88204,High,NGA,Formerly known as Edison International Field,American,West,45050,Open,Los Angeles Angels of Anaheim,./0.png
"1",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Chase Field,,,401 East Jefferson,,,,Phoenix,AZ,85004,85004-2438,Maricopa,Phoenix,9,33.44501,-112.06673,High,NGA,,National,West,49033,Convertible,Arizona Diamondbacks,./0.png
"2",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Citizens Bank Park,,,1 Citizens Bank Way,,,,Philadelphia,PA,19148,19148-5249,Philadelphia,Philadelphia,3,39.90618,-75.16665,High,NGA,New Phillies stadium as of 2004 season,National,East,43647,Open,Philadelphia Phillies,./0.png
"3",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Comerica Park,,,2100 Woodward Avenue,,,,Detroit,MI,48201,48201-3470,Wayne,Detroit,5,42.33912,-83.04886,High,NGA,,American,Central,41782,Open,Detroit Tigers,./0.png
"4",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Coors Field,,,2001 Blake Street,,,,Denver,CO,80205,,Denver,Denver,8,39.75664,-104.99442,High,NGA,,National,West,50445,Open,Colorado Rockies,./0.png
"5",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Dodger Stadium,,,1000 Elysian Park Avenue,,,,Los Angeles,CA,90012,,Los Angeles,Los Angeles,9,34.07335,-118.23993,High,NGA,,National,West,56000,Open,Los Angeles Dodgers,./0.png
"6",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Fenway Park,,,4 Yawkey Way,,,,Boston,MA,2215,02215-3409,Suffolk,Boston,1,42.34622,-71.09771,High,NGA,,American,East,37654,Open,Boston Red Sox,./0.png
"7",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Great American Ball Park,,,100 Main Street,,,,Cincinnati,OH,45202,,Hamilton,Cincinnati,5,39.09623,-84.50889,High,NGA,"Cinergy Field, aka Riverfront Stadium, was imploded.",National,Central,42059,Open,Cincinnati Reds,./0.png
"8",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Progressive Field,,,2401 Ontario Street,,,,Cleveland,OH,44115,44115-4003,Cuyahoga,Cleveland-Akron,5,41.49565,-81.68544,High,NGA,"Formerly known as Jacobs Fields until 2008; still often called 'The Jake'",American,Central,43515,Open,Cleveland Indians,./0.png
"9",High Value/Symboli,Sports Arena,MLB,UNCLASSIFIED,"20100212",,Kauffman Stadium,,,1 Royals Way,,,,Kansas City,MO,64141,64141-6969,Jackson,Kansas City,7,39.05164,-94.48043,High,NGA,,American,Central,39000,Open,Kansas City Royals,./0.png
