qc_id,sector,subsector,primary_ty,sec_class,date_creat,date_modif,comp_affil,name1,name2,name3,address1,address2,po_box,po_zip,city,state,zip,zip_4,county,hsip_aoi,fema_regio,latitude,longitude,reliabilit,coorsource,comments_1,conference,division,capacity,roof_type,team,icon_url
"0",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Ralph Wilson Stadium,,,1 Bills Drive,,,,Orchard Park,NY,14127,,Erie,Buffalo,2,42.77379,-78.78679,High,NGA,,American,East,73967,Open,Buffalo Bills,./0.png
"1",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Sun Life Stadium,,,2267 North West 199th Street,,,,Miami,FL,33056,,Dade,Miami-Fort Lauderdale,4,25.95801,-80.23889,High,NGA,"Shares stadium with Marlins(MLB), Miami FL(NCAA)",American,East,76500,Open,Miami Dolphins,./0.png
"2",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Gillette Stadium,,,1 Patriot Place,,,,Foxboro,MA,2035,02035-1388,Norfolk,Boston,1,42.09188,-71.26491,High,NGA,Shares stadium with Revolution(MLS).,American,East,68756,Open,New England Patriots,./0.png
"3",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Cleveland Browns Stadium,,,100 Alfred Lerner Way,,,,Cleveland,OH,44114,,Cuyahoga,Cleveland-Akron,5,41.50618,-81.69962,High,NGA,,American,North,65790,Open,Cleveland Browns,./0.png
"4",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,M&T Bank Stadium,,,1101 Russell Street,,,,Baltimore,MD,21230,,Baltimore City,Baltimore,3,39.2779,-76.6227,High,NGA,,American,North,71008,Open,Baltimore Ravens,./0.png
"5",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Paul Brown Stadium,,,1 Paul Brown Stadium,,,,Cincinnati,OH,45202,,Hamilton,Cincinnati,5,39.09532,-84.51623,High,NGA,,American,North,65535,Open,Cincinnati Bengals,./0.png
"6",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Heinz Field,,,100 Art Rooney Avenue,,,,Pittsburgh,PA,15212,,Allegheny,Pittsburgh,3,40.44673,-80.01574,High,NGA,Shares stadium with Pittsburgh Pathers(NCAA).,American,North,65050,Open,Pittsburgh Steelers,./0.png
"7",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Jacksonville Municipal Stadium,,,1 Stadium Place,,,,Jacksonville,FL,32202,32202-1918,Duval,Jacksonville,4,30.32387,-81.6369,High,NGA,,American,South,76867,Open,Jacksonville Jaguars,./0.png
"8",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20100211",,,Lucas Oil Stadium,,,500 South Capitol Avenue,,,,Indianapolis,IN,46225,,Marion,Indianapolis,5,39.76,-86.16361,High,NGA,,American,South,63000,Retractable,Indianapolis Colts,./0.png
"9",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040223","20100211",,Reliant Stadium,,,8299 Kirby Drive,,,,Houston,TX,77054,,Harris,Houston,6,29.68493,-95.41092,High,NGA,,American,South,71500,Retractable,Houston Texans,./0.png
"10",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,LP Field,,,1 Titan Way,,,,Nashville,TN,37213,,Davidson,Nashville,4,36.16654,-86.77252,High,NGA,Shares stadium with Tenn St. Tigers (NCAA).,American,South,68798,Open,Tennessee Titans,./0.png
"11",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Oakland-Alameda County Coliseum,,,7000 Coliseum Way,,,,Oakland,CA,94621,,Alameda,San Francisco-Oakland,9,37.75233,-122.1999,High,NGA,Shares stadium with Athletics(MLB).,American,West,63026,Open,Oakland Raiders,./0.png
"12",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Arrowhead Stadium,,,1 Arrowhead Drive,,,,Kansas City,MO,64129,,Jackson,Kansas City,7,39.04895,-94.48388,High,NGA,,American,West,77000,Open,Kansas City Chiefs,./0.png
"13",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Invesco Field at Mile High,,,1701 Bryant Street,,,,Denver,CO,80204,,Denver,Denver,8,39.74396,-105.02028,High,NGA,Shares stadium with Outlaws(MLL).,American,West,76125,Open,Denver Broncos,./0.png
"14",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Qualcomm Stadium,,,9449 Friars Road,,,,San Diego,CA,92108,,San Diego,San Diego,9,32.78322,-117.11976,High,NGA,Shares stadium with San Diego St Aztecs(NCAA).,American,West,71294,Open,San Diego Chargers,./0.png
"15",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,FedEx Field,,,1600 FedEx Way,,,,Landover,MD,20785,,Prince George's,Washington,3,38.90778,-76.86444,High,NGA,,National,East,91704,Open,Washington Redskins,./0.png
"16",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20100211",,,Cowboys Stadium,,,900 East Randol Mill Road,,,,Arlington,TX,76011,,Tarrant,Dallas-Fort Worth,6,32.74778,-97.09277,High,NGA,,National,East,80000,Retractable,Dallas Cowboys,./0.png
"17",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20100211",,,Meadowlands Stadium,,,50 State Highway 120,,,,East Rutherford,NJ,7073,,Bergen,New York-Newark,2,40.81361,-74.07444,High,NGA,Shares stadium with Giants(NFL) and Jets(NFL),National,East,82500,Open,New York Giants/ NewYork Jets,./0.png
"18",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040211","20100211",,Lincoln Financial Field,,,1020 Pattison Avenue,,,,Philadelphia,PA,19148,,Philadelphia,Philadelphia,3,39.90147,-75.16729,High,NGA,"Shares stadium with Union (MLS), Temple Owls(NCAA).",National,East,68532,Open,Philadelphia Eagles,./0.png
"19",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,"20040223","20100211",,Ford Field,,,2000 Brush Street,,,,Detroit,MI,48226,48226-2229,Wayne,Detroit,5,42.34005,-83.04564,High,NGA,,National,North,64111,Dome,Detroit Lions,./0.png
